ORDRE,FAMILLE,CD_NOM,CD_TAXSUP,CD_SUP,CD_REF,RANG,LB_NOM,AUTEURS,ANNEE,NOM_VERN,NOM_VERN_ENG,HABITAT,URL-INPN,
Gaviiformes,Gaviidae,951,,,2411,ES,Gavia septentrionalis,,,Plongeon catmarin,Red-throated Diver,Marin & Terrestre,1,
Gaviiformes,Gaviidae,952,,,2411,ES,Colymbus stellatus,Pontoppidan,1763,Plongeon catmarin,Red-throated Diver,Marin & Terrestre,1,
Gaviiformes,Gaviidae,953,192728,192728,953,ES,Gavia adamsii,Gray,1859,Plongeon à bec blanc,Yellow-billed Diver,Marin & Terrestre,1,
Gaviiformes,Gaviidae,955,,,953,ES,Colymbus adamsii,Gray,1859,Plongeon à bec blanc,Yellow-billed Diver,Marin & Terrestre,1,
Gaviiformes,Gaviidae,956,192728,192728,956,ES,Gavia arctica,Linnaeus,1758,Plongeon arctique,Black-throated Diver,Marin & Terrestre,1,
Gaviiformes,Gaviidae,958,,,956,ES,Colymbus arcticus,Linnaeus,1758,Plongeon arctique,Black-throated Diver,Marin & Terrestre,1,
Gaviiformes,Gaviidae,959,192728,192728,959,ES,Gavia immer,Brünnich,1764,Plongeon imbrin,Great Northern Diver,Marin & Terrestre,1,
Gaviiformes,Gaviidae,961,,,959,ES,Colymbus immer,Brünnich,1764,Plongeon imbrin,Great Northern Diver,Marin & Terrestre,1,
Podicipediformes,Podicipedidae,965,196474,196474,965,ES,Podiceps cristatus,Linnaeus,1758,Grèbe huppé,Great Crested Grebe,Marin & Terrestre,1,
Podicipediformes,Podicipedidae,967,,,965,ES,Colymbus cristatus,Linnaeus,1758,Grèbe huppé,Great Crested Grebe,Marin & Terrestre,1,
Podicipediformes,Podicipedidae,968,196474,196474,968,ES,Podiceps grisegena,Boddaert,1783,Grèbe jougris,Red-necked Grebe,Marin & Terrestre,1,
Podicipediformes,Podicipedidae,970,,,968,ES,Colymbus grisegena,Boddaert,1783,Grèbe jougris,Red-necked Grebe,Marin & Terrestre,1,
Podicipediformes,Podicipedidae,971,196474,196474,971,ES,Podiceps auritus,Linnaeus,1758,Grèbe esclavon,Slavonian Grebe,Marin & Terrestre,1,
Podicipediformes,Podicipedidae,973,,,971,ES,Colymbus auritus,Linnaeus,1758,Grèbe esclavon,Slavonian Grebe,Marin & Terrestre,1,
Podicipediformes,Podicipedidae,974,196474,196474,974,ES,Podiceps nigricollis,Brehm,1831,Grèbe à cou noir,Black-necked Grebe,Marin & Terrestre,1,
Podicipediformes,Podicipedidae,977,198176,198176,977,ES,Tachybaptus ruficollis,Pallas,1764,Grèbe castagneux,Little Grebe,Continental terrestre et eau douce,1,
Podicipediformes,Podicipedidae,979,,,977,ES,Colymbus ruficollis,Pallas,1764,Grèbe castagneux,Little Grebe,Continental terrestre et eau douce,1,
Podicipediformes,Podicipedidae,980,,,977,ES,Podiceps ruficollis,,,Grèbe castagneux,Little Grebe,Continental terrestre et eau douce,1,
Podicipediformes,Podicipedidae,982,196475,196475,982,ES,Podilymbus podiceps,Linnaeus,1758,Grèbe à bec bigarré,Pied-billed Grebe,Continental terrestre et eau douce,1,
Procellariiformes,Diomedeidae,986,,,442424,ES,Diomedea melanophris,Temminck,1828,Albatros à sourcils noirs,Black-browed albatros,Marin & Terrestre,1,
Procellariiformes,Diomedeidae,988,191805,191805,988,ES,Diomedea exulans,Linnaeus,1758,"Albatros hurleur, Grand albatros",,Marin & Terrestre,1,
Procellariiformes,Diomedeidae,990,,,528806,ES,Diomedea chlororhynchos,Gmelin,1789,"Albatros à nez jaune, Albatros à bec jaune",Atlantic Yellow-nosed Albatross,Marin & Terrestre,1,
Procellariiformes,Procellariidae,994,194386,194386,994,ES,Macronectes giganteus,Gmelin,1789,"Fulmar géant, Pétrel géant",,Marin & Terrestre,1,
Procellariiformes,Procellariidae,996,,,994,ES,Procellaria gigantea,Gmelin,1789,"Fulmar géant, Pétrel géant",,Marin & Terrestre,1,
Procellariiformes,Procellariidae,998,192646,192646,998,ES,Fulmarus glacialis,Linnaeus,1761,"Pétrel fulmar, Fulmar boréal",,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1000,,,998,ES,Procellaria glacialis,Linnaeus,1761,"Pétrel fulmar, Fulmar boréal",,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1002,191547,191547,1002,ES,Daption capense,Linnaeus,1758,Damier du Cap,,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1005,190113,190113,1005,ES,Bulweria bulwerii,Jardine & Selby,1828,Pétrel de Bulwer,Bulwer's Petrel,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1007,,,1005,ES,Procellaria bulwerii,Jardine & Selby,1828,Pétrel de Bulwer,Bulwer's Petrel,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1009,190235,190235,1009,ES,Calonectris diomedea,Scopoli,1769,"Puffin cendré, Puffin de Scopoli",Cory's Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1011,,,1009,ES,Procellaria diomedea,Scopoli,1769,"Puffin cendré, Puffin de Scopoli",Cory's Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1012,,,1009,ES,Puffinus kuhli,Boie,1835,"Puffin cendré, Puffin de Scopoli",Cory's Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1013,,,1009,ES,Puffinus diomedea,Scopoli,1769,"Puffin cendré, Puffin de Scopoli",Cory's Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1014,,,1009,SSES,Calonectris diomedea borealis,Cory,1881,"Puffin cendré, Puffin de Scopoli",Cory's Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1015,,,1009,SSES,Calonectris diomedea diomedea,Scopoli,1769,"Puffin cendré, Puffin de Scopoli",Cory's Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1017,,,790987,ES,Puffinus gravis,O'Reilly,1818,Puffin majeur,Great Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1019,,,790987,ES,Procellaria gravis,O'Reilly,1818,Puffin majeur,Great Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1020,196930,196930,1020,ES,Puffinus assimilis,Gould,1838,"Petit puffin, Puffin semblable",Little Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1023,,,836253,SSES,Puffinus assimilis baroli,Bonaparte,1857,"Puffin de Macaronésie, Puffin obscur",,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1024,196930,196930,1024,ES,Puffinus griseus,Gmelin,1789,Puffin fuligineux,Sooty Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1026,,,1024,ES,Procellaria grisea,Gmelin,1789,Puffin fuligineux,Sooty Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1027,196930,196930,1027,ES,Puffinus puffinus,Brünnich,1764,Puffin des Anglais,Manx Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1029,,,1027,ES,Procellaria puffinus,Brünnich,1764,Puffin des Anglais,Manx Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1030,,,1027,SSES,Puffinus puffinus puffinus,Brünnich,1764,Puffin des Anglais,Manx Shearwater,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1031,196930,196930,1031,ES,Puffinus yelkouan,Acerbi,1827,Puffin yelkouan,,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1033,,,1031,SSES,Puffinus puffinus yelkouan,Acerbi,1827,Puffin yelkouan,,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1034,,,1031,SSES,Puffinus yelkouan yelkouan,Acerbi,1827,Puffin yelkouan,,Marin & Terrestre,1,
Procellariiformes,Procellariidae,1035,,,199318,SSES,Puffinus yelkouan mauretanicus,Lowe,1921,Puffin des Baléares,Balearic Shearwater,Marin & Terrestre,1,
